Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
120102,Tom,Zhou,M,108255,Sales Manager,AU,8/11/69,6/1/89
120103,Wilson,Dawes,M,87975,Sales Manager,AU,1/22/49,1/1/74
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,8/2/44,1/1/74
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,7/27/54,7/1/78
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,9/28/64,10/1/85
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,5/13/59,3/1/79
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,12/6/54,3/1/79
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,9/20/88,8/1/06
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,1/4/79,11/1/98
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,7/14/86,11/1/06
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,11/22/64,10/1/85
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,12/14/84,5/1/06
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,9/25/79,1/1/03
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,4/5/49,10/1/78
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,4/22/86,10/1/06
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,6/6/49,1/1/74
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,1/26/69,10/1/97
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,9/16/79,2/1/03
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,3/12/79,3/1/06
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,7/11/79,7/1/06
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,8/18/86,9/1/06
120140,Michael,Minas,M,26970,Sales Rep. I,AU,8/3/88,10/1/06
120141,Amanda,Liebman,F,27465,Sales Rep. II,AU,3/12/88,5/1/06
120142,Vincent,Eastley,M,29695,Sales Rep. III,AU,6/14/86,7/1/06
120143,Phu,Sloey,M,26790,Sales Rep. II,AU,5/17/59,10/1/82
120144,Viney,Barbis,M,30265,Sales Rep. III,AU,3/7/86,10/1/06
120145,Sandy,Aisbitt,M,26060,Sales Rep. II,AU,1/22/64,6/1/85
120146,Wendall,Cederlund,M,25985,Sales Rep. I,AU,10/2/59,8/1/80
120147,Skev,Rusli,F,26580,Sales Rep. II,AU,1/19/88,10/1/06
120148,Michael,Zubak,M,28480,Sales Rep. III,AU,9/13/49,6/1/78
120149,Judy,Chantharasy,F,26390,Sales Rep. I,AU,11/21/74,1/1/93
120150,John,Filo,M,29965,Sales Rep. III,AU,7/9/54,8/1/82
120151,Julianna,Phaiyakounh,F,26520,Sales Rep. II,AU,11/21/44,1/1/74
120152,Sean,Dives,M,26515,Sales Rep. I,AU,5/1/79,4/1/05
120153,Samantha,Waal,F,27260,Sales Rep. I,AU,5/7/79,1/1/98
120154,Caterina,Hayawardhana,F,30490,Sales Rep. III,AU,7/20/44,1/1/74
120155,Narelle,James,F,29990,Sales Rep. III,AU,4/22/84,4/1/06
120156,Gerry,Snellings,F,26445,Sales Rep. I,AU,9/1/88,3/1/06
120157,Leonid,Karavdic,M,27860,Sales Rep. II,AU,2/21/86,12/1/06
120158,Daniel,Pilgrim,M,36605,Sales Rep. III,AU,7/14/64,7/1/87
120159,Lynelle,Phoumirath,F,30765,Sales Rep. IV,AU,2/24/64,7/1/86
120160,Chuck,Segrave,M,27115,Sales Rep. I,AU,9/9/54,10/1/74
120161,Rosette,Martines,F,30785,Sales Rep. III,AU,3/7/88,10/1/06
120162,Randal,Scordia,M,27215,Sales Rep. I,AU,9/5/88,2/1/06
